StationID,Year,Month,Day,Latitude,Longitude,StreamDischargeCFS,Air TemperatureC
14166000,2001,8,4,44.2704,236.82629,3760,21.8381
14166000,2001,8,5,44.2704,236.82629,3730,20.2249
14166000,2001,8,6,44.2704,236.82629,3720,21.1197
14166000,2001,8,7,44.2704,236.82629,3680,17.5941
14166000,2001,8,8,44.2704,236.82629,3650,18.3521
14166000,2001,8,9,44.2704,236.82629,3770,18.2133
14166000,2001,8,10,44.2704,236.82629,3740,18.8585
14166000,2001,8,11,44.2704,236.82629,3840,16.0697
14166000,2001,8,12,44.2704,236.82629,3840,15.3772
14166000,2001,8,13,44.2704,236.82629,3840,19.3909
14166000,2001,8,14,44.2704,236.82629,3800,21.3604
14166000,2001,8,15,44.2704,236.82629,3830,23.0771
14166000,2001,8,16,44.2704,236.82629,3800,20.3903
14166000,2001,8,17,44.2704,236.82629,3780,21.3903
14166000,2001,8,18,44.2704,236.82629,3810,19.7821
14166000,2001,8,19,44.2704,236.82629,3800,18.1164
14166000,2001,8,20,44.2704,236.82629,3760,20.5056
14166000,2001,8,21,44.2704,236.82629,3760,21.1071
14166000,2001,8,22,44.2704,236.82629,3770,19.3246
14166000,2001,8,23,44.2704,236.82629,4010,15.7293
14166000,2001,8,24,44.2704,236.82629,4050,16.6294
14166000,2001,8,25,44.2704,236.82629,3950,17.7903
14166000,2001,8,26,44.2704,236.82629,3940,18.9846
14166000,2001,8,27,44.2704,236.82629,3880,19.0571
14166000,2001,8,28,44.2704,236.82629,3790,18.364
14166000,2001,8,29,44.2704,236.82629,3790,19.4866
14166000,2001,8,30,44.2704,236.82629,3830,18.4354
14166000,2001,8,31,44.2704,236.82629,3850,15.6989
14166000,2001,9,1,44.2704,236.82629,3860,17.9254
14166000,2001,9,2,44.2704,236.82629,3860,20.3922
14166000,2001,9,3,44.2704,236.82629,3810,18.7682
14166000,2001,9,4,44.2704,236.82629,3860,17.6265
14166000,2001,9,5,44.2704,236.82629,3770,19.0791
14166000,2001,9,6,44.2704,236.82629,3850,19.9538
14166000,2001,9,7,44.2704,236.82629,3970,18.4089
14166000,2001,9,8,44.2704,236.82629,3960,16.209
14166000,2001,9,9,44.2704,236.82629,4020,17.6169
